id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type
"paquete-de-lujo-ambientador-textil-elixir-fregasuelos","PAQUETE DE LUJO — Ambientador Textil + Elixir Fregasuelos Aromas a elegir","pon aromas a elegir y ya
 PAQUETE DE LUJO — Ambientador Textil + Elixir Fregasuelos 
 Dos formas de perfumar tu casa en un mismo pack: una para tus tejidos, otra para tus suelos. Y el mismo resultado al entrar por la puerta, esa sensación de que todo está en su sitio.
 🌸 Ambientador Textil 300 ml — Fragancia de alta esencia para telas, tejidos y hogar. Un par de pulverizaciones sobre el sofá, las cortinas o la ropa de cama y el aroma se queda envolviendo el espacio.
 👑 Elixir · Fregasuelos Ultra-Concentrado — Extra perfumado, con efecto ambientador y limpieza sin huellas. Al ser ultra-concentrado te rinde muchísimo más que un fregasuelos normal.
 🎁 Aromas a elegir — tú eliges la combinación que más te representa.
 💛 Limpiar siempre siempre merece la pena, y con estos dos el resultado se nota horas después.
 HAZTE CASO 
Pulveriza el ambientador textil a unos 20 cm y sobre el tejido seco, nunca empapando. Y friega con el Elixir justo antes de irte a dormir: al día siguiente te levantas y la casa sigue oliendo.
 📅 26,50 € — Oferta válida del 1 al 30 de septiembre o hasta agotar existencias.
 Ama tu esencia. Laboncler.

Opciones disponibles: Zaren Wall - Flor de asuán / Blue Rouse · Zaren Wall - Flor de asuán / Golden Pearls · Zaren Wall - Flor de asuán / Fresh Atlantis · Linur Fruit - Mango y Nectarina / Blue Rouse · Linur Fruit - Mango y Nectarina / Golden Pearls · Linur Fruit - Mango y Nectarina / Fresh Atlantis · Soren Honey - Miel de mil flores / Blue Rouse · Soren Honey - Miel de mil flores / Golden Pearls · Soren Honey - Miel de mil flores / Fresh Atlantis · Zelin Grape - Azahar infusionado / Blue Rouse · Zelin Grape - Azahar infusionado / Golden Pearls · Zelin Grape - Azahar infusionado / Fresh Atlantis · Stim Cryam - Bouquet Floral / Blue Rouse · Stim Cryam - Bouquet Floral / Golden Pearls · Stim Cryam - Bouquet Floral / Fresh Atlantis · Acua Lurex - Ropa Limpia / Blue Rouse · Acua Lurex - Ropa Limpia / Golden Pearls · Acua Lurex - Ropa Limpia / Fresh Atlantis
Indícanos la opción que quieres al hacer el pedido.","in stock","new","26.50 EUR","","https://aura-prestige.sumupstore.com/product/paquete-de-lujo-ambientador-textil-elixir-fregasuelos-aromas-a-elegir","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/AROMALUJO.jpg","Laboncler","Ofertas del Mes"
"body-mist-yucatan-sea-azul","BODY MIST Yucatán Sea (Azul)","Los Body Mist o Brumas perfumadas con Glytter son lo nuevo en Laboncler. 
Productos de deseo entre nuestras rutinas de belleza.
Un poco más ligeros que nuestros perfumes clásicos, aunque con toda la naturalidad de estos. 😍
Te contamos todos los posibles usos de este nuevo producto.
Puedes aplicarlo sobre tu cuerpo y sobre tu pelo justo después de la ducha.
La ligereza del producto, que se evapora rápidamente te permite usarlo varias veces a lo largo del tiempo.
¡incluso puedes aplicarlo como un retoque de maquillaje entre medio día y la tarde!
 PREPÁRATE PARA BRILLAR 🌟 LLEVAN GLYTTER NATURAL 🌟 
Nuestros Body Mist son también una buena manera de refrescarte y de eliminar los olores de la vida diaria,
(el de la contaminación, el tabaco, los olores del ambiente ...)
En definitiva, estos Body Mist son un nuevo gesto de belleza digno de adoptar.
¡¡ Os animamos a que los probéis y comprobéis lo fácil que es usarlos y enamoraros de la sensación que os provocará !!
¡¡¡ Hazte con la colección completa !!!
 YUCATAN SEA (Azul) 
 Esencia Afrutada y floral con un corazón de mango, jazmín sambac ,Violeta, fusión del pachoulí y vainilla de Madagascar.","in stock","new","9.00 EUR","","https://aura-prestige.sumupstore.com/productos","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/body_mist_yucatan_sea.jpg","Laboncler","Perfumes · Body Mist"
"body-mist-morelias-palm-lila","BODY MIST Morelia´s Palm (Lila)","Los Body Mist o Brumas perfumadas con Glytter son lo nuevo en Laboncler. 
Productos de deseo entre nuestras rutinas de belleza.
Un poco más ligeros que nuestros perfumes clásicos, aunque con toda la naturalidad de estos. 😍
Te contamos todos los posibles usos de este nuevo producto.
Puedes aplicarlo sobre tu cuerpo y sobre tu pelo justo después de la ducha.
La ligereza del producto, que se evapora rápidamente te permite usarlo varias veces a lo largo del tiempo.
¡incluso puedes aplicarlo como un retoque de maquillaje entre medio día y la tarde!
 PREPÁRATE PARA BRILLAR 🌟 LLEVAN GLYTTER NATURAL 🌟 
Nuestros Body Mist son también una buena manera de refrescarte y de eliminar los olores de la vida diaria,
(el de la contaminación, el tabaco, los olores del ambiente ...)
En definitiva, estos Body Mist son un nuevo gesto de belleza digno de adoptar.
¡¡ Os animamos a que los probéis y comprobéis lo fácil que es usarlos y enamoraros de la sensación que os provocará !!
¡¡¡ Hazte con la colección completa !!!
 MORELIAS PALM (Lila) 
Suntuoso, muy Floral, intenso, con un corazón de gardenias, mandarina italiana, plumaría y azúcar de caña.","in stock","new","9.00 EUR","","https://aura-prestige.sumupstore.com/productos","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/body_mist_morelias_palm.jpg","Laboncler","Perfumes · Body Mist"
"body-mist-cancun-valley-rojo","BODY MIST Cancún Valley (Rojo)","Los Body Mist o Brumas perfumadas con Glytter son lo nuevo en Laboncler. 
Productos de deseo entre nuestras rutinas de belleza.
Un poco más ligeros que nuestros perfumes clásicos, aunque con toda la naturalidad de estos. 😍
Te contamos todos los posibles usos de este nuevo producto.
Puedes aplicarlo sobre tu cuerpo y sobre tu pelo justo después de la ducha.
La ligereza del producto, que se evapora rápidamente te permite usarlo varias veces a lo largo del tiempo.
¡incluso puedes aplicarlo como un retoque de maquillaje entre medio día y la tarde!
 PREPÁRATE PARA BRILLAR 🌟 LLEVAN GLYTTER NATURAL 🌟 
Nuestros Body Mist son también una buena manera de refrescarte y de eliminar los olores de la vida diaria,
(el de la contaminación, el tabaco, los olores del ambiente ...)
En definitiva, estos Body Mist son un nuevo gesto de belleza digno de adoptar.
¡¡ Os animamos a que los probéis y comprobéis lo fácil que es usarlos y enamoraros de la sensación que os provocará !!
¡¡¡ Hazte con la colección completa !!!
 CANCUN VALLEY (Rojo) 
 Fresco aroma Cítrico con corazón de Magnolia, azúcar ,caramelo, manzana y cedro.","in stock","new","9.00 EUR","","https://aura-prestige.sumupstore.com/productos","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/BODY_MIST_CANCUN_VALLEY.jpg","Laboncler","Perfumes · Body Mist"
"body-mist-acapulco-beach-rosa","BODY MIST Acapulco Beach (Rosa)","Los Body Mist o Brumas perfumadas con Glytter son lo nuevo en Laboncler. 
Productos de deseo entre nuestras rutinas de belleza.
Un poco más ligeros que nuestros perfumes clásicos, aunque con toda la naturalidad de estos. 😍
Te contamos todos los posibles usos de este nuevo producto.
Puedes aplicarlo sobre tu cuerpo y sobre tu pelo justo después de la ducha.
La ligereza del producto, que se evapora rápidamente te permite usarlo varias veces a lo largo del tiempo.
¡incluso puedes aplicarlo como un retoque de maquillaje entre medio día y la tarde!
 PREPÁRATE PARA BRILLAR 🌟 LLEVAN GLYTTER NATURAL 🌟 
Nuestros Body Mist son también una buena manera de refrescarte y de eliminar los olores de la vida diaria,
(el de la contaminación, el tabaco, los olores del ambiente ...)
En definitiva, estos Body Mist son un nuevo gesto de belleza digno de adoptar.
¡¡ Os animamos a que los probéis y comprobéis lo fácil que es usarlos y enamoraros de la sensación que os provocará !!
¡¡¡ Hazte con la colección completa !!!
 ACAPULCO BEACH  (Rosa) 
Amaderado, con un corazón de frambuesas,  Flor de damasco, praliné, frutos Rojos, lichi y benjuí.","in stock","new","9.00 EUR","","https://aura-prestige.sumupstore.com/productos","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/body_mist_acapulco_beach.jpg","Laboncler","Perfumes · Body Mist"
"wedjara-la-emulsion-de-las-reinas-rubina-beauty","WEDJARA LA EMULSIÓN DE LAS REINAS - RUBINA BEAUTY","Wedjara (Todo en 1 )
No importa lo que tu piel necesite.
WEDJARA sabe cómo cuidarla.
 WEDJARA
El secreto ancestral de una piel extraordinaria.
 Cuidado, regeneración, hidratación y salud...
""La emulsión de las Reinas""
 El Ácido Hialurónico es el rey indiscutible de la rutina facial por una razón: 
Retiene hasta 1.000 veces su peso en agua para mantener la piel jugosa, firme, luminosa
Saludable y joven.
Pero... ¿por qué dejarlo solo para la cara?
 Tus piernas, brazos y escote sufren la misma deshidratación y el mismo paso del tiempo. Ellos también merecen el ingrediente estrella.
Para ello tenemos la fórmula secreta traída desde el mismo Egipto: 
Alta cosmética molecular, ahora para todo tu cuerpo.
✨ Hidratación molecular profunda: 
No se limita a tapar la sequedad superficial; el hialurónico penetra para rellenar los depósitos de agua de la piel.
 🌸 Efecto piel de seda y nacar: 
Devuelve la jugosidad y el aspecto elástico a zonas críticas que solemos olvidar, como los codos, las rodillas 
o el escote.
 ⚡ Textura fluida de absorción inmediata: Diseñada para fundirse con la piel al instante en forma de microgotas. 
Cero sensación pegajosa, te puedes vestir un segundo después de aplicarla.
 Es hora de elevar el listón del cuidado de tu cuerpo con la misma exigencia con la que cuidas tu rostro.
Wedjara, La emulsión Mágica corporal 
de las reinas de Egipto 
No importa lo que tu piel necesite.
WEDJARA sabe cómo cuidarla.
WEDJARA
El secreto ancestral de una piel extraordinaria.
 FRASCO GIGANTE 700ML","in stock","new","19.95 EUR","","https://aura-prestige.sumupstore.com/product/wedjara-la-emulsion-de-las-reinas-rubina-beauty","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/WEDJARA1.jpg","Laboncler","Rubina Beauty"
"set-doble-bayetas-rutina-anti-contaminacion-cruzada","SET DOBLE BAYETAS RUTINA ANTI CONTAMINACIÓN CRUZADA 2 DE CADA COLOR","🧽 Set Doble Bayetas · Laboncler 
 10 bayetas de microfibra en 5 colores, 2 de cada uno. La forma más fácil y organizada de limpiar tu casa sin mezclar suciedad de una zona a otra.
 La rutina anti contaminación cruzada: asigna un color a cada zona de la casa y olvídate de pasar bacterias del baño a la cocina. Cada color para su sitio, todo más higiénico y ordenado.
 ⭐ Qué incluye el set: 
 🟧 2 bayetas naranjas 🟩 2 bayetas verdes 🟪 2 bayetas moradas 🟨 2 bayetas amarillas 🟦 2 bayetas azules 
 Bayetas de microfibra que no sueltan pelusa, absorben de maravilla y van con todo tipo de superficies. Asígnale un color a cada estancia (baño, cocina, cristales, polvo, superficies) y mantén cada zona con su propia bayeta.","in stock","new","9.90 EUR","9.00 EUR","https://aura-prestige.sumupstore.com/product/set-doble-bayetas-rutina-anti-contaminacion-cruzada-2-de-cada-color","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/set_doble_bayetas.jpg","Laboncler","Packs"
"brocha-manual-de-limpieza","BROCHA MANUAL DE LIMPIEZA","Cepillo de mano extra suave, fabricado con una alta resistencia y durabilidad. Su diseño permite limpiar fácilmente las zonas donde los cepillos más grandes no pueden llegar, tales como orificios, recovecos, agujeros... De dureza baja, para uso moderado sin rallar superficies.
Ideal para: carrocerías Salpicaderos Piezas del aseo Cristaleras Mamparas Azulejos,  gresite Llantas Mobiliario en general...","in stock","new","5.00 EUR","","https://aura-prestige.sumupstore.com/product/brocha-manual-de-limpieza","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/BROCHAMANUALDELIMPIEZA2.jpg","Laboncler","Hogar"
"velisso-trapeador-multifuncion-75x60cm","Velisso — Trapeador Multifunción 75x60cm","Pocas cosas dan más paz que pisar un suelo limpio. Descalzo, sin miedo, sabiendo que ahí no hay ni una pelusa.
 Esa sensación de ""mi casa está en orden"" que te resetea el día.
 Velisso está hecho para eso. Es un paño de microfibra natural enorme (75x60cm), gordo y esponjoso, que atrapa todo lo que toca en una sola pasada. Pelos, polvo, pelusas — se quedan ahí, no se mueven de esquina.
 Y lo mejor: si tienes un suelo bonito — porcelánico, mármol, parquet, terrazo — puedes estar tranquilo. No raya. No deja marcas. Solo ese brillo limpio que da gusto mirar.
 Súper absorbente y tamaño grande de verdad, para cubrir más suelo en menos pasadas. Porque limpiar siempre merece la pena, pero que sea fácil tampoco está de más.
 ⚠️ No apto para suelos rugosos.","in stock","new","9.95 EUR","","https://aura-prestige.sumupstore.com/product/velisso-trapeador-multifuncion-75x60cm","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/pano_velisso_microfibra.jpg","Laboncler","Hogar"
"pack-3-bolsas-de-basura-tamanos-120l-60l-30l-iguales-o-combinadas-antibacterianas-y-ultraresistentes","PACK 3 BOLSAS DE BASURA | TAMAÑOS 120L 60L 30L | IGUALES O COMBINADAS | ANTIBACTERIANAS Y ULTRARESISTENTES","Pack 3 Bolsas de Basura Laboncler – Tamaños a elegir
 Tres unidades. Un solo criterio: resistencia sin concesiones .
 El Pack de 3 Bolsas de Basura Laboncler está pensado para adaptarse a tu día a día con total flexibilidad. Puedes elegir tamaños iguales o combinarlos según tus necesidades: 30L, 60L y 120L , cubriendo desde el uso diario en casa hasta tareas más exigentes.
 Cada bolsa mantiene los estándares Laboncler: material de 4 capas , triple sellado antigoteo y una galga reforzada que ofrece una resistencia superior frente a peso, humedad y residuos voluminosos. Todo ello con más del 80 % de plástico reciclado y 100 % reciclable , apostando por una limpieza más responsable.
 El grabado Laboncler refuerza la estructura, mientras que el tratamiento antibacteriano y el aroma ultraperfumado garantizan una experiencia más higiénica y agradable. Además, vienen precortadas , con cierre fácil/autocierre , para un uso cómodo y sin tirones.
 Certificadas con la ecoetiqueta Blue Angel , que avala su calidad y compromiso medioambiental.
 Incluye:
 3 rollos de bolsas Laboncler 
 Tamaños a elegir: 30L / 60L / 120L 
 Posibilidad de combinarlas según tu necesidad
 Material de 4 capas 
 Triple sellado antigoteo 
 Antibacterianas 
 Precortadas 
 Cierre fácil / autocierre 
 Más del 80 % de plástico reciclado 
 100 % reciclables 
 Certificación Blue Angel 
 Porque no todas las bolsas son iguales. Y cuando pruebas Laboncler… se nota.

Opciones disponibles: 120L / 120L / 120L · 120L / 120L / 60L · 120L / 120L / 30L · 120L / 60L / 120L · 120L / 60L / 60L · 120L / 60L / 30L · 120L / 30L / 120L · 120L / 30L / 60L · 120L / 30L / 30L · 60L / 120L / 120L · 60L / 120L / 60L · 60L / 120L / 30L · 60L / 60L / 120L · 60L / 60L / 60L · 60L / 60L / 30L · 60L / 30L / 120L · 60L / 30L / 60L · 60L / 30L / 30L · 30L / 120L / 120L · 30L / 120L / 60L · 30L / 120L / 30L · 30L / 60L / 120L · 30L / 60L / 60L · 30L / 60L / 30L · 30L / 30L / 120L · 30L / 30L / 60L · 30L / 30L / 30L
Indícanos la opción que quieres al hacer el pedido.","in stock","new","13.95 EUR","","https://aura-prestige.sumupstore.com/product/pack-3-bolsas-de-basura-tamanos-120l-60l-30l-iguales-o-combinadas-antibacterianas-y-ultraresistentes","https://cdn.shopify.com/s/files/1/0958/5970/4190/files/PACK_3_BOLSAS.jpg","Laboncler","Packs"
